nombre,categoria,proveedor,precioVenta,stock,stockMinimo
Coca-Cola 2.25L,Bebidas,Coca-Cola FEMSA,4200,,
Coca-Cola 1.5L,Bebidas,Coca-Cola FEMSA,3200,,
Coca-Cola Lata 354ml,Bebidas,Coca-Cola FEMSA,1600,6,
Coca-Cola Zero 2.25L,Bebidas,Coca-Cola FEMSA,4200,,
Sprite 2.25L,Bebidas,Coca-Cola FEMSA,3900,,
Fanta Naranja 2.25L,Bebidas,Coca-Cola FEMSA,3900,,
Pepsi 2.25L,Bebidas,Pepsico,3600,,
Seven Up 2.25L,Bebidas,Pepsico,3600,,
Manaos Cola 2.25L,Bebidas,Distribuidora Norte,2100,,
Manaos Naranja 2.25L,Bebidas,Distribuidora Norte,2100,,
Agua Villa del Sur 2L,Bebidas,Coca-Cola FEMSA,1800,9,
Agua Villa del Sur con gas 2L,Bebidas,Coca-Cola FEMSA,1800,,
Agua Eco de los Andes 2L,Bebidas,Coca-Cola FEMSA,1900,,
Agua Villavicencio 1.5L,Bebidas,Coca-Cola FEMSA,1900,,
Levité Pomelo 2.25L,Bebidas,Coca-Cola FEMSA,2600,,
Levité Naranja 1.5L,Bebidas,Coca-Cola FEMSA,2200,,
Ser Manzana 1.5L,Bebidas,Coca-Cola FEMSA,2200,,
Aquarius Pera 1.5L,Bebidas,Coca-Cola FEMSA,2300,,
Cepita Naranja 1L,Bebidas,Coca-Cola FEMSA,2400,,
Baggio Multifruta 1L,Bebidas,Distribuidora Norte,1700,,
Cindor Chocolatada 1L,Bebidas,La Serenísima,2600,,
Gatorade Frutas Tropicales 500ml,Bebidas,Pepsico,2100,,
Powerade Mora Azul 500ml,Bebidas,Coca-Cola FEMSA,2100,,
Red Bull 250ml,Bebidas,Distribuidora Norte,3200,,
Speed Energy 500ml,Bebidas,Distribuidora Norte,1900,,
Monster Energy 473ml,Bebidas,Distribuidora Norte,3000,,
Agua Tónica Schweppes 1.5L,Bebidas,Coca-Cola FEMSA,2200,,
Soda Sifón 1.5L,Bebidas,Distribuidora Norte,1500,,
Cerveza Quilmes 1L,Cervezas y vinos,Cervecería Quilmes,2900,4,
Cerveza Quilmes Lata 473ml,Cervezas y vinos,Cervecería Quilmes,1700,,
Cerveza Quilmes Porrón 340ml,Cervezas y vinos,Cervecería Quilmes,1500,,
Cerveza Brahma 1L,Cervezas y vinos,Cervecería Quilmes,2700,,
Cerveza Andes Origen 1L,Cervezas y vinos,Cervecería Quilmes,3100,,
Cerveza Stella Artois 975ml,Cervezas y vinos,Cervecería Quilmes,3600,,
Cerveza Corona 330ml,Cervezas y vinos,Cervecería Quilmes,2600,,
Cerveza Heineken Lata 473ml,Cervezas y vinos,Cervecería Quilmes,2400,,
Cerveza Schneider 1L,Cervezas y vinos,Cervecería Quilmes,2500,,
Cerveza Imperial 1L,Cervezas y vinos,Cervecería Quilmes,3000,,
Cerveza Patagonia Amber Lager 730ml,Cervezas y vinos,Cervecería Quilmes,3800,,
Fernet Branca 750ml,Cervezas y vinos,Fratelli Branca,14500,5,
Fernet Branca 450ml,Cervezas y vinos,Fratelli Branca,9500,,
Fernet 1882 750ml,Cervezas y vinos,Distribuidora Norte,9800,,
Vino Toro Tinto 1L,Cervezas y vinos,Distribuidora Norte,2600,,
Vino Termidor Tinto 1L,Cervezas y vinos,Distribuidora Norte,2700,,
Vino Uvita Tinto 1L,Cervezas y vinos,Distribuidora Norte,2400,,
Vino Dada Malbec 750ml,Cervezas y vinos,Distribuidora Norte,3800,,
Vino Benjamín Nieto Malbec 750ml,Cervezas y vinos,Distribuidora Norte,5200,,
Vino Los Toneles Malbec 750ml,Cervezas y vinos,Distribuidora Norte,4200,,
Gancia Americano 950ml,Cervezas y vinos,Distribuidora Norte,6800,,
Campari 750ml,Cervezas y vinos,Distribuidora Norte,9200,,
Vodka Smirnoff 750ml,Cervezas y vinos,Distribuidora Norte,9800,,
Sidra Real 720ml,Cervezas y vinos,Distribuidora Norte,3200,,
Sidra 1888 720ml,Cervezas y vinos,Distribuidora Norte,3600,,
Aperitivo Cynar 750ml,Cervezas y vinos,Distribuidora Norte,8200,,
Marlboro Box 20,Cigarrillos,Massalin Particulares,3800,6,
Marlboro Red Box 10,Cigarrillos,Massalin Particulares,2100,,
Marlboro Gold Box 20,Cigarrillos,Massalin Particulares,3800,,
Philip Morris Box 20,Cigarrillos,Massalin Particulares,3500,,
Philip Morris KS 20,Cigarrillos,Massalin Particulares,3400,,
Chesterfield Box 20,Cigarrillos,Massalin Particulares,3300,,
Parliament Box 20,Cigarrillos,Massalin Particulares,4200,,
Camel Box 20,Cigarrillos,British American Tobacco,3600,,
Lucky Strike Box 20,Cigarrillos,British American Tobacco,3500,,
Viceroy Box 20,Cigarrillos,British American Tobacco,3000,,
Pall Mall Box 20,Cigarrillos,British American Tobacco,3100,,
Jockey Club Suave 20,Cigarrillos,British American Tobacco,2900,,
Colorado 20,Cigarrillos,Massalin Particulares,2600,,
Derby Box 20,Cigarrillos,British American Tobacco,2500,,
Next Box 20,Cigarrillos,British American Tobacco,2700,,
Parisiennes 20,Cigarrillos,Massalin Particulares,2800,,
Papas Lays Clásicas 145g,Snacks,Pepsico,3100,,
Papas Lays Cebolla 145g,Snacks,Pepsico,3100,,
Pringles Original 124g,Snacks,Pepsico,4200,,
Papas Pehuamar Clásicas 130g,Snacks,Distribuidora Norte,2600,,
Doritos Queso 140g,Snacks,Pepsico,3300,,
Cheetos Pelotitas 90g,Snacks,Pepsico,2100,,
Palitos Salados Pehuamar 100g,Snacks,Distribuidora Norte,1600,,
Chizitos Pehuamar 90g,Snacks,Distribuidora Norte,1800,,
Twistos Mix 100g,Snacks,Pepsico,2200,,
Maní Salado Krachitos 90g,Snacks,Distribuidora Norte,1700,,
Maní Japonés Krachitos 100g,Snacks,Distribuidora Norte,1900,,
Nachos con Queso 150g,Snacks,Distribuidora Norte,3000,,
Snacks Mix Frutos Secos 100g,Snacks,Distribuidora Norte,3500,,
Galletitas Club Social 100g,Snacks,Mondelez,1500,,
Aceitunas Verdes 200g,Snacks,Distribuidora Norte,2600,,
Palitos de la Selva 100g,Snacks,Distribuidora Norte,1600,,
Papas Fritas Onduladas 200g,Snacks,Distribuidora Norte,3600,,
Maní con Chocolate 100g,Snacks,Arcor,2200,,
