nombre,categoria,proveedor,precioVenta,stock,stockMinimo
Medialuna de Manteca,Facturas,Elaboración propia,350,,
Medialunas Docena,Facturas,Elaboración propia,3800,,
Factura Surtida Docena,Facturas,Elaboración propia,3600,,
Vigilante,Facturas,Elaboración propia,350,,
Cañoncito de Dulce de Leche,Facturas,Elaboración propia,500,,
Bola de Fraile,Facturas,Elaboración propia,450,,
Churro Relleno,Facturas,Elaboración propia,600,,
Pan Francés por kg,Panadería,Elaboración propia,2200,,
Pan Flauta,Panadería,Elaboración propia,900,,
Pan de Salvado por kg,Panadería,Elaboración propia,2600,,
Figaza,Panadería,Elaboración propia,700,,
Pan Lactal Casero,Panadería,Elaboración propia,3200,,
Pan de Hamburguesa 4u,Panadería,Elaboración propia,1600,,
Pan de Pancho 4u,Panadería,Elaboración propia,1500,,
Grisines de Sémola 200g,Panadería,Elaboración propia,1400,,
Criollitos por kg,Panadería,Elaboración propia,3000,,
Mignon por kg,Panadería,Elaboración propia,2300,,
Budín de Vainilla,Pastelería,Elaboración propia,3200,,
Budín Marmolado,Pastelería,Elaboración propia,3200,,
Porción de Torta Rogel,Pastelería,Elaboración propia,2600,,
Porción de Tarta de Ricota,Pastelería,Elaboración propia,2400,,
Alfajor de Maicena,Pastelería,Elaboración propia,700,,
Pepas por kg,Pastelería,Elaboración propia,4200,,
Palmerita,Pastelería,Elaboración propia,400,,
Masa Fina por kg,Pastelería,Elaboración propia,9800,,
Cookie con Chips,Pastelería,Elaboración propia,900,,
Sándwich de Miga Simple,Sándwiches,Elaboración propia,700,,
Sándwich de Miga Triple,Sándwiches,Elaboración propia,1300,,
Prepizza,Sándwiches,Elaboración propia,1600,,
Tapa de Empanada Docena,Sándwiches,Molinos Río de la Plata,1900,,
Tapa de Tarta,Sándwiches,Molinos Río de la Plata,1400,,
Empanada de Carne,Sándwiches,Elaboración propia,1200,,
Leche La Serenísima Sachet 1L,Almacén,La Serenísima,1500,,
Huevos Docena,Almacén,Distribuidora Norte,3200,,
Azúcar Ledesma 1kg,Almacén,Distribuidora Norte,1900,,
Yerba Taragüí 1kg,Almacén,Establecimiento Las Marías,4900,,
Café La Virginia 250g,Almacén,Distribuidora Norte,4800,,
Manteca La Serenísima 200g,Almacén,La Serenísima,2600,,
Dulce de Leche La Serenísima 400g,Almacén,La Serenísima,3200,,
Coca-Cola 1.5L,Bebidas,Coca-Cola FEMSA,3200,,
Agua Villa del Sur 2L,Bebidas,Coca-Cola FEMSA,1800,,
Jamón Cocido por kg,Fiambrería,Distribuidora Norte,12800,,
Queso de Máquina por kg,Fiambrería,Distribuidora Norte,11800,,
