nombre,categoria,proveedor,unidadVenta,precioVenta,stock,stockMinimo
Tomate redondo,Verduras,Mercado de Abasto,kg,1200,,
Papa blanca,Verduras,Mercado de Abasto,kg,800,,
Cebolla,Verduras,Mercado de Abasto,kg,900,,
Zanahoria,Verduras,Mercado de Abasto,kg,1000,,
Zapallo anco,Verduras,Quinta local,kg,950,,
Batata,Verduras,Quinta local,kg,1100,,
Lechuga criolla,Verduras,Quinta local,kg,1800,3,8
Acelga,Verduras,Quinta local,kg,1400,,
Espinaca,Verduras,Quinta local,kg,2200,,
Morrón rojo,Verduras,Mercado de Abasto,kg,3200,,
Morrón verde,Verduras,Mercado de Abasto,kg,2400,,
Choclo,Verduras,Quinta local,kg,1300,,
Zapallito,Verduras,Quinta local,kg,1500,,
Berenjena,Verduras,Quinta local,kg,1700,,
Pepino,Verduras,Quinta local,kg,1600,,
Ajo,Verduras,Mercado de Abasto,kg,4800,,
Remolacha,Verduras,Quinta local,kg,1100,,
Chaucha,Verduras,Quinta local,kg,2600,,
Manzana roja,Frutas,Mercado de Abasto,kg,1800,,
Manzana verde,Frutas,Mercado de Abasto,kg,1900,,
Banana,Frutas,Mercado de Abasto,kg,1500,,
Naranja,Frutas,Mercado de Abasto,kg,1100,,
Mandarina,Frutas,Mercado de Abasto,kg,1300,,
Limón,Frutas,Mercado de Abasto,kg,1600,,
Pera,Frutas,Mercado de Abasto,kg,1900,,
Uva,Frutas,Mercado de Abasto,kg,3400,,
Frutilla,Frutas,Quinta local,kg,4500,2,5
Durazno,Frutas,Mercado de Abasto,kg,2600,,
Ciruela,Frutas,Mercado de Abasto,kg,2400,,
Kiwi,Frutas,Mercado de Abasto,kg,3800,,
Ananá,Frutas,Mercado de Abasto,kg,2200,,
Melón,Frutas,Quinta local,kg,1400,,
Sandía,Frutas,Quinta local,kg,900,,
Pomelo,Frutas,Mercado de Abasto,kg,1200,,
Palta,Frutas,Mercado de Abasto,kg,5200,,
